inst_141635 RESOURCE22351
inst_68725 RESOURCE33861
inst_89643 RESOURCE44426
inst_69416 RESOURCE37318
inst_284684 RESOURCE14459
inst_85981 RESOURCE29442
inst_296791 RESOURCE11289
inst_88559 RESOURCE33860
inst_260613 RESOURCE26752
inst_228122 RESOURCE5334
inst_89195 RESOURCE44425
inst_284294 RESOURCE14458
inst_303152 RESOURCE18876
inst_67503 RESOURCE37317
inst_88079 RESOURCE33859
inst_86067 RESOURCE29441
inst_265320 RESOURCE22333
inst_284955 RESOURCE18875
inst_40227 RESOURCE41734
inst_81433 RESOURCE37316
inst_86267 RESOURCE29440
inst_269051 RESOURCE26750
inst_31360 RESOURCE44423
inst_249720 RESOURCE14456
inst_286488 RESOURCE18874
inst_82881 RESOURCE37315
inst_250632 RESOURCE11286
inst_84832 RESOURCE33857
inst_289353 RESOURCE22331
inst_267336 RESOURCE26749
inst_33712 RESOURCE44422
inst_83000 RESOURCE41732
inst_254969 RESOURCE14455
inst_248653 RESOURCE18873
inst_75878 RESOURCE37314
inst_284983 RESOURCE22330
inst_35945 RESOURCE44421
inst_244244 RESOURCE14454
inst_75909 RESOURCE37313
inst_249233 RESOURCE18872
inst_78291 RESOURCE41731
inst_27621 RESOURCE52296
inst_314795 RESOURCE33855
inst_483641 RESOURCE5329
inst_36210 RESOURCE44420
inst_254200 RESOURCE18871
inst_76869 RESOURCE41730
inst_85604 RESOURCE37312
inst_245108 RESOURCE14453
inst_313532 RESOURCE33854
inst_288747 RESOURCE29436
inst_26661 RESOURCE56713
inst_249013 RESOURCE22328
inst_36685 RESOURCE48837
inst_254829 RESOURCE18870
inst_230586 RESOURCE14452
inst_290953 RESOURCE29435
inst_26917 RESOURCE56712
inst_314004 RESOURCE33853
inst_257737 RESOURCE22327
inst_471155 RESOURCE5327
inst_253115 RESOURCE18869
inst_21804 RESOURCE62378
inst_493053 RESOURCE8784
inst_4767 RESOURCE56711
inst_11656 RESOURCE60841
inst_310825 RESOURCE33852
inst_25220 RESOURCE52293
inst_470902 RESOURCE5326
inst_253598 RESOURCE22326
inst_212638 RESOURCE26744
inst_73260 RESOURCE44417
inst_167371 RESOURCE41727
inst_16396 RESOURCE62377
inst_4868 RESOURCE56710
inst_317020 RESOURCE29433
inst_212694 RESOURCE26743
inst_469695 RESOURCE5325
inst_167939 RESOURCE41726
inst_16393 RESOURCE62376
inst_493607 RESOURCE11279
inst_5448 RESOURCE52291
inst_14607 RESOURCE60839
inst_315986 RESOURCE33850
inst_469188 RESOURCE5324
inst_160569 RESOURCE44415
inst_488012 RESOURCE14448
inst_10613 RESOURCE62375
inst_215978 RESOURCE33849
inst_489518 RESOURCE11278
inst_213981 RESOURCE29431
inst_7306 RESOURCE52290
inst_17297 RESOURCE64872
inst_462784 RESOURCE5323
inst_224975 RESOURCE22323
inst_235434 RESOURCE26741
inst_14976 RESOURCE62374
inst_461003 RESOURCE8780
inst_28915 RESOURCE52289
inst_17314 RESOURCE64871
inst_214739 RESOURCE29430
inst_492147 RESOURCE11277
inst_456150 RESOURCE5322
inst_232488 RESOURCE22322
inst_307399 RESOURCE37305
inst_461314 RESOURCE14446
inst_463150 RESOURCE8779
inst_233899 RESOURCE29429
inst_479703 RESOURCE26739
inst_455983 RESOURCE5321
inst_468897 RESOURCE14445
inst_491489 RESOURCE18863
inst_454846 RESOURCE8778
inst_15447 RESOURCE64869
inst_461521 RESOURCE11275
inst_232909 RESOURCE33846
inst_233751 RESOURCE29428
inst_479252 RESOURCE26738
inst_153099 RESOURCE48829
inst_147085 RESOURCE44411
inst_468334 RESOURCE14444
inst_306451 RESOURCE41721
inst_155163 RESOURCE52286
inst_235896 RESOURCE33845
inst_156689 RESOURCE56704
inst_454643 RESOURCE11274
inst_19493 RESOURCE64868
inst_464586 RESOURCE5319
inst_154789 RESOURCE60833
inst_165791 RESOURCE52285
inst_242368 RESOURCE33844
inst_473935 RESOURCE26736
inst_481996 RESOURCE22318
inst_513944 RESOURCE5318
inst_477330 RESOURCE18860
inst_236336 RESOURCE37301
inst_169631 RESOURCE52284
inst_476172 RESOURCE22317
inst_150777 RESOURCE48826
inst_516350 RESOURCE14441
inst_236962 RESOURCE37300
inst_477616 RESOURCE18859
inst_523394 RESOURCE8774
inst_165599 RESOURCE56701
inst_168732 RESOURCE52283
inst_530856 RESOURCE33842
inst_164923 RESOURCE60831
inst_477289 RESOURCE22316
inst_205312 RESOURCE44407
inst_149717 RESOURCE48825
inst_236692 RESOURCE37299
inst_237267 RESOURCE41717
inst_200437 RESOURCE52282
inst_519877 RESOURCE11270
inst_480972 RESOURCE22315
inst_199321 RESOURCE48824
inst_236613 RESOURCE41716
inst_521121 RESOURCE14439
inst_510210 RESOURCE8772
inst_511467 RESOURCE11269
inst_200843 RESOURCE52281
inst_205322 RESOURCE44405
inst_518894 RESOURCE14438
inst_530805 RESOURCE37297
inst_175239 RESOURCE56698
inst_528504 RESOURCE33839
inst_540802 RESOURCE29421
inst_199775 RESOURCE52280
inst_180848 RESOURCE60827
inst_177328 RESOURCE56697
inst_506801 RESOURCE22312
inst_407228 RESOURCE14436
inst_529991 RESOURCE37295
inst_173494 RESOURCE60826
inst_404789 RESOURCE11266
inst_498240 RESOURCE29419
inst_176792 RESOURCE56696
inst_500912 RESOURCE26729
inst_525655 RESOURCE37294
inst_404004 RESOURCE14435
inst_357508 RESOURCE41712
inst_180720 RESOURCE62362
inst_179486 RESOURCE60825
inst_500068 RESOURCE29418
inst_197519 RESOURCE56695
inst_404079 RESOURCE14434
inst_538041 RESOURCE37293
inst_173441 RESOURCE62361
inst_196157 RESOURCE56694
inst_197104 RESOURCE52276
inst_499581 RESOURCE29417
inst_178413 RESOURCE60824
inst_396222 RESOURCE22309
inst_501599 RESOURCE26727
inst_379783 RESOURCE48818
inst_398912 RESOURCE14433
inst_173455 RESOURCE62360
inst_188215 RESOURCE56693
inst_498637 RESOURCE33834
inst_396223 RESOURCE22308
inst_379782 RESOURCE48817
inst_534168 RESOURCE37291
inst_532788 RESOURCE41709
inst_414963 RESOURCE29415
inst_194985 RESOURCE52274
inst_504164 RESOURCE33833
inst_190655 RESOURCE56692
inst_187263 RESOURCE60822
inst_391889 RESOURCE22307
inst_379924 RESOURCE48816
inst_533161 RESOURCE41708
inst_396815 RESOURCE18849
inst_186399 RESOURCE62358
inst_416005 RESOURCE29414
inst_382211 RESOURCE52273
inst_502525 RESOURCE33832
inst_192104 RESOURCE64855
inst_190853 RESOURCE56691
inst_186918 RESOURCE60821
inst_392278 RESOURCE26724
inst_324925 RESOURCE37289
inst_407915 RESOURCE18848
inst_187873 RESOURCE62357
inst_502160 RESOURCE33831
inst_382621 RESOURCE52272
inst_183651 RESOURCE60820
inst_414101 RESOURCE29413
inst_324644 RESOURCE41706
inst_398804 RESOURCE18847
inst_184760 RESOURCE62356
inst_417612 RESOURCE33830
inst_403636 RESOURCE22304
inst_329854 RESOURCE44395
inst_388971 RESOURCE37287
inst_323643 RESOURCE41705
inst_192550 RESOURCE64852
inst_411768 RESOURCE33829
inst_391180 RESOURCE26721
inst_328302 RESOURCE44394
inst_363457 RESOURCE48812
inst_325002 RESOURCE41704
inst_387775 RESOURCE37286
inst_192997 RESOURCE64851
inst_411808 RESOURCE33828
inst_323021 RESOURCE44393
inst_387863 RESOURCE41703
inst_418193 RESOURCE37285
inst_370133 RESOURCE60816
inst_411902 RESOURCE33827
inst_326632 RESOURCE44392
inst_410735 RESOURCE37284
inst_388082 RESOURCE41702
inst_375540 RESOURCE62352
inst_379421 RESOURCE64849
inst_413817 RESOURCE33826
inst_416590 RESOURCE41701
inst_410586 RESOURCE37283
inst_369083 RESOURCE62351
inst_333805 RESOURCE56684
inst_379106 RESOURCE64848
inst_413014 RESOURCE33825
inst_322685 RESOURCE52266
inst_452705 RESOURCE44390
inst_409943 RESOURCE37282
inst_417392 RESOURCE41700
inst_339837 RESOURCE56683
inst_322428 RESOURCE52265
inst_412097 RESOURCE33824
inst_375519 RESOURCE64847
inst_451958 RESOURCE44389
inst_445571 RESOURCE37281
inst_410063 RESOURCE41699
inst_373120 RESOURCE62349
inst_339457 RESOURCE52264
inst_445973 RESOURCE33823
inst_376112 RESOURCE64846
inst_417021 RESOURCE44388
inst_410273 RESOURCE41698
inst_435571 RESOURCE37280
inst_370379 RESOURCE64845
inst_334372 RESOURCE60811
inst_446680 RESOURCE48805
inst_450480 RESOURCE44387
inst_409154 RESOURCE41697
inst_446559 RESOURCE37279
inst_372908 RESOURCE64844
inst_340720 RESOURCE56680
inst_423753 RESOURCE44386
inst_447399 RESOURCE48804
inst_443804 RESOURCE41696
inst_341456 RESOURCE56679
inst_423894 RESOURCE44385
inst_440682 RESOURCE37277
inst_346291 RESOURCE62345
inst_447978 RESOURCE52260
inst_346995 RESOURCE60808
inst_443611 RESOURCE44384
inst_420013 RESOURCE48802
inst_440718 RESOURCE37276
inst_343303 RESOURCE62344
inst_449304 RESOURCE52259
inst_425552 RESOURCE48801
inst_438939 RESOURCE44383
inst_440922 RESOURCE41693
inst_344538 RESOURCE64840
inst_427031 RESOURCE56676
inst_432400 RESOURCE44382
inst_442511 RESOURCE41692
inst_344921 RESOURCE64839
inst_426394 RESOURCE56675
inst_427738 RESOURCE52257
inst_433217 RESOURCE48799
inst_348097 RESOURCE62341
inst_426369 RESOURCE56674
inst_429448 RESOURCE52256
inst_433284 RESOURCE48798
inst_347749 RESOURCE62340
inst_422174 RESOURCE56673
inst_433171 RESOURCE48797
inst_348297 RESOURCE64836
inst_113653 RESOURCE27911
inst_121613 RESOURCE27909
inst_122920 RESOURCE27907
inst_138310 RESOURCE27904
inst_61709 RESOURCE12433
inst_131169 RESOURCE27902
inst_61014 RESOURCE12431
inst_61253 RESOURCE12430
inst_137076 RESOURCE27900
inst_142269 RESOURCE27899
inst_121323 RESOURCE42889
inst_120806 RESOURCE42888
inst_142948 RESOURCE27897
inst_141292 RESOURCE27896
inst_50778 RESOURCE12425
inst_51242 RESOURCE12424
inst_123291 RESOURCE42884
inst_102166 RESOURCE27892
inst_276133 RESOURCE12420
inst_274532 RESOURCE12419
inst_276249 RESOURCE12418
inst_127063 RESOURCE42879
inst_41978 RESOURCE27885
inst_281530 RESOURCE12414
inst_294026 RESOURCE12413
inst_108393 RESOURCE42874
inst_293274 RESOURCE12412
inst_43365 RESOURCE27880
inst_300129 RESOURCE12409
inst_44647 RESOURCE27879
inst_295026 RESOURCE12408
inst_28186 RESOURCE42869
inst_67415 RESOURCE27878
inst_295025 RESOURCE12407
inst_45169 RESOURCE27877
inst_286869 RESOURCE12406
inst_71708 RESOURCE27876
inst_288079 RESOURCE12405
inst_302261 RESOURCE12404
inst_276731 RESOURCE27874
inst_277423 RESOURCE27873
inst_298179 RESOURCE12401
inst_83819 RESOURCE27870
inst_40220 RESOURCE42860
inst_250276 RESOURCE12397
inst_36031 RESOURCE42858
inst_37182 RESOURCE42857
inst_36397 RESOURCE42856
inst_313892 RESOURCE27864
inst_21342 RESOURCE57845
inst_80540 RESOURCE42854
inst_229752 RESOURCE12392
inst_21340 RESOURCE57844
inst_78400 RESOURCE42853
inst_21339 RESOURCE57843
inst_73148 RESOURCE42852
inst_303128 RESOURCE27861
inst_26130 RESOURCE57842
inst_76489 RESOURCE42851
inst_223886 RESOURCE12389
inst_30736 RESOURCE57841
inst_20278 RESOURCE57840
inst_16183 RESOURCE57839
inst_221808 RESOURCE12387
inst_80491 RESOURCE42848
inst_307862 RESOURCE27857
inst_493008 RESOURCE12386
inst_20027 RESOURCE57838
inst_491541 RESOURCE12385
inst_11460 RESOURCE57837
inst_83936 RESOURCE42846
inst_8605 RESOURCE57836
inst_159017 RESOURCE42845
inst_23207 RESOURCE57835
inst_159016 RESOURCE42844
inst_21899 RESOURCE57834
inst_257718 RESOURCE27852
inst_21902 RESOURCE57833
inst_253304 RESOURCE27851
inst_28978 RESOURCE57832
inst_491908 RESOURCE12379
inst_28969 RESOURCE57831
inst_215523 RESOURCE27849
inst_19368 RESOURCE57830
inst_470770 RESOURCE12378
inst_313110 RESOURCE42839
inst_29997 RESOURCE57829
inst_313109 RESOURCE42838
inst_225167 RESOURCE27847
inst_149860 RESOURCE42837
inst_234109 RESOURCE27845
inst_73950 RESOURCE57826
inst_235464 RESOURCE27844
inst_231518 RESOURCE27843
inst_454539 RESOURCE12372
inst_455455 RESOURCE12371
inst_156628 RESOURCE57823
inst_305388 RESOURCE42832
inst_479461 RESOURCE27841
inst_157158 RESOURCE57822
inst_199376 RESOURCE42831
inst_531013 RESOURCE27840
inst_467201 RESOURCE12369
inst_536624 RESOURCE27839
inst_464147 RESOURCE12368
inst_154408 RESOURCE57820
inst_482542 RESOURCE27838
inst_537610 RESOURCE27836
inst_173895 RESOURCE57817
inst_204077 RESOURCE42826
inst_203671 RESOURCE42825
inst_537781 RESOURCE27834
inst_181333 RESOURCE57815
inst_513029 RESOURCE12363
inst_472769 RESOURCE27833
inst_524389 RESOURCE27832
inst_511151 RESOURCE12361
inst_172515 RESOURCE57813
inst_194493 RESOURCE42822
inst_524390 RESOURCE27831
inst_517347 RESOURCE12360
inst_168212 RESOURCE57812
inst_481707 RESOURCE27830
inst_520783 RESOURCE12359
inst_379763 RESOURCE42820
inst_380509 RESOURCE42819
inst_522617 RESOURCE12357
inst_496995 RESOURCE27827
inst_405600 RESOURCE12356
inst_354246 RESOURCE42817
inst_405845 RESOURCE12355
inst_354532 RESOURCE42816
inst_498221 RESOURCE27825
inst_404133 RESOURCE12354
inst_354245 RESOURCE42815
inst_500592 RESOURCE27824
inst_405002 RESOURCE12353
inst_358357 RESOURCE42814
inst_501625 RESOURCE27823
inst_405335 RESOURCE12352
inst_539048 RESOURCE42813
inst_398311 RESOURCE12351
inst_357266 RESOURCE42812
inst_507090 RESOURCE27821
inst_398310 RESOURCE12350
inst_529770 RESOURCE42811
inst_507766 RESOURCE27820
inst_395468 RESOURCE27819
inst_189196 RESOURCE57800
inst_395594 RESOURCE27818
inst_189195 RESOURCE57799
inst_401006 RESOURCE12347
inst_533079 RESOURCE42808
inst_396003 RESOURCE27817
inst_190724 RESOURCE57798
inst_396009 RESOURCE27816
inst_192632 RESOURCE57797
inst_392643 RESOURCE27815
inst_192634 RESOURCE57796
inst_393176 RESOURCE27814
inst_190034 RESOURCE57795
inst_411812 RESOURCE27813
inst_453389 RESOURCE42803
inst_324004 RESOURCE42802
inst_389452 RESOURCE27811
inst_377570 RESOURCE57792
inst_320777 RESOURCE42801
inst_414107 RESOURCE27810
inst_383810 RESOURCE57791
inst_414104 RESOURCE27809
inst_366716 RESOURCE57790
inst_389830 RESOURCE27808
inst_402416 RESOURCE27806
inst_444711 RESOURCE27805
inst_370412 RESOURCE57786
inst_388869 RESOURCE42795
inst_401645 RESOURCE27804
inst_360180 RESOURCE57785
inst_452480 RESOURCE42793
inst_436670 RESOURCE27802
inst_364574 RESOURCE57783
inst_446744 RESOURCE42792
inst_370923 RESOURCE57782
inst_365002 RESOURCE57781
inst_416542 RESOURCE42790
inst_365111 RESOURCE57780
inst_322351 RESOURCE57778
inst_332243 RESOURCE57777
inst_346256 RESOURCE57775
inst_343764 RESOURCE57774
inst_343765 RESOURCE57773
inst_424975 RESOURCE42782
inst_335315 RESOURCE57770
inst_438016 RESOURCE42779
inst_335159 RESOURCE57769
inst_347942 RESOURCE57768
inst_441496 RESOURCE42776
inst_449356 RESOURCE57765
inst_422099 RESOURCE57760
inst_429009 RESOURCE57757
CLB886 RESOURCE16013
CLB1591 RESOURCE16014
CLB983 RESOURCE22443
CLB933 RESOURCE25319
CLB952 RESOURCE25320
CLB972 RESOURCE24362
CLB613 RESOURCE27331
CLB588 RESOURCE27332
CLB943 RESOURCE26279
CLB935 RESOURCE26853
CLB936 RESOURCE26854
CLB599 RESOURCE28000
CLB970 RESOURCE24842
CLB993 RESOURCE23885
CLB941 RESOURCE25801
CLB975 RESOURCE24364
CLB942 RESOURCE26280
CLB1558 RESOURCE21395
CLB939 RESOURCE26281
CLB984 RESOURCE24844
CLB986 RESOURCE24845
CLB977 RESOURCE24846
CLB992 RESOURCE25324
CLB609 RESOURCE30014
CLB574 RESOURCE28003
CLB982 RESOURCE25804
CLB1747 RESOURCE23409
CLB937 RESOURCE27335
CLB938 RESOURCE27336
CLB607 RESOURCE28962
CLB998 RESOURCE25805
CLB576 RESOURCE28005
CLB570 RESOURCE28484
CLB944 RESOURCE26858
CLB985 RESOURCE23410
CLB964 RESOURCE26284
CLB1613 RESOURCE22932
CLB606 RESOURCE29538
CLB571 RESOURCE28964
CLB951 RESOURCE26859
CLB573 RESOURCE29539
CLB575 RESOURCE28965
CLB597 RESOURCE30976
CLB614 RESOURCE28007
CLB1608 RESOURCE23891
CLB1612 RESOURCE22933
CLB1593 RESOURCE24371
CLB596 RESOURCE30977
CLB1753 RESOURCE20443
CLB567 RESOURCE30018
CLB940 RESOURCE28008
CLB1750 RESOURCE20444
CLB973 RESOURCE26287
CLB979 RESOURCE25808
CLB996 RESOURCE27340
CLB1594 RESOURCE24850
CLB615 RESOURCE28009
CLB978 RESOURCE25809
CLB560 RESOURCE29540
CLB991 RESOURCE23892
CLB1549 RESOURCE21881
CLB568 RESOURCE30019
CLB561 RESOURCE30499
CLB595 RESOURCE31456
CLB1740 RESOURCE21882
CLB1429 RESOURCE23414
CLB1766 RESOURCE19487
CLB974 RESOURCE26288
CLB566 RESOURCE29541
CLB600 RESOURCE32415
CLB967 RESOURCE26862
CLB1751 RESOURCE20924
CLB594 RESOURCE30978
CLB1778 RESOURCE20445
CLB581 RESOURCE28967
CLB1767 RESOURCE19967
CLB1606 RESOURCE23893
CLB1744 RESOURCE22457
CLB958 RESOURCE27341
CLB948 RESOURCE28968
CLB593 RESOURCE31936
CLB617 RESOURCE28488
CLB17526 RESOURCE10389
CLB1422 RESOURCE23415
CLB17527 RESOURCE10390
CLB17492 RESOURCE8953
CLB1472 RESOURCE22456
CLB1609 RESOURCE23894
CLB17504 RESOURCE9911
CLB1776 RESOURCE19488
CLB969 RESOURCE26863
CLB980 RESOURCE25810
CLB1587 RESOURCE23416
CLB17641 RESOURCE11444
CLB1775 RESOURCE19489
CLB1739 RESOURCE22458
CLB17644 RESOURCE11922
CLB1777 RESOURCE19968
CLB616 RESOURCE28969
CLB1431 RESOURCE22935
CLB1746 RESOURCE21883
CLB1590 RESOURCE25811
CLB959 RESOURCE28490
CLB558 RESOURCE30501
CLB981 RESOURCE26290
CLB945 RESOURCE28970
CLB564 RESOURCE31459
CLB946 RESOURCE28010
CLB1601 RESOURCE26289
CLB17503 RESOURCE9912
CLB592 RESOURCE32417
CLB1433 RESOURCE23417
CLB17491 RESOURCE9433
CLB1743 RESOURCE22937
CLB1752 RESOURCE21884
CLB15009 RESOURCE9434
CLB1772 RESOURCE20447
CLB563 RESOURCE31460
CLB1550 RESOURCE21405
CLB17486 RESOURCE8954
CLB569 RESOURCE30022
CLB590 RESOURCE33375
CLB17623 RESOURCE12593
CLB15036 RESOURCE10870
CLB589 RESOURCE32896
CLB1771 RESOURCE20448
CLB557 RESOURCE31939
CLB1598 RESOURCE25812
CLB17642 RESOURCE11923
CLB947 RESOURCE28491
CLB1755 RESOURCE21406
CLB1773 RESOURCE20446
CLB1582 RESOURCE24854
CLB1543 RESOURCE22459
CLB17483 RESOURCE8955
CLB17505 RESOURCE10391
CLB601 RESOURCE31940
CLB1742 RESOURCE23418
CLB17488 RESOURCE9913
CLB1741 RESOURCE22938
CLB17621 RESOURCE13073
CLB556 RESOURCE30981
CLB1610 RESOURCE25334
CLB1774 RESOURCE21407
CLB968 RESOURCE27345
CLB1595 RESOURCE25813
CLB971 RESOURCE28012
CLB1599 RESOURCE26292
CLB17481 RESOURCE9435
CLB1585 RESOURCE25335
CLB17502 RESOURCE10871
CLB17622 RESOURCE13553
CLB17489 RESOURCE10393
CLB1563 RESOURCE23897
CLB610 RESOURCE30982
CLB1586 RESOURCE24855
CLB17484 RESOURCE9914
CLB562 RESOURCE31941
CLB17643 RESOURCE11925
CLB17456 RESOURCE8956
CLB1421 RESOURCE24376
CLB603 RESOURCE32420
CLB1745 RESOURCE22460
CLB1602 RESOURCE18438
CLB341 RESOURCE18439
CLB950 RESOURCE28492
CLB17455 RESOURCE8957
CLB962 RESOURCE28013
CLB17506 RESOURCE10872
CLB17635 RESOURCE12595
CLB957 RESOURCE28014
CLB555 RESOURCE31461
CLB1604 RESOURCE18440
CLB1768 RESOURCE21408
CLB17508 RESOURCE11447
CLB598 RESOURCE33952
CLB1568 RESOURCE24856
CLB1749 RESOURCE22940
CLB17493 RESOURCE10873
CLB559 RESOURCE30983
CLB966 RESOURCE28493
CLB17617 RESOURCE13554
CLB1748 RESOURCE22461
CLB17482 RESOURCE9915
CLB17619 RESOURCE13075
CLB1470 RESOURCE23419
CLB1583 RESOURCE25336
CLB1588 RESOURCE26867
CLB1584 RESOURCE25814
CLB612 RESOURCE30504
CLB17620 RESOURCE13555
CLB17636 RESOURCE12596
CLB1780 RESOURCE21409
CLB953 RESOURCE28494
CLB987 RESOURCE26868
CLB15037 RESOURCE11926
CLB602 RESOURCE32421
CLB656 RESOURCE30025
CLB591 RESOURCE33953
CLB17462 RESOURCE8958
CLB17618 RESOURCE13556
CLB17457 RESOURCE9436
CLB580 RESOURCE30984
CLB565 RESOURCE32422
CLB1555 RESOURCE24857
CLB1468 RESOURCE23899
CLB1469 RESOURCE23420
CLB1570 RESOURCE24377
CLB1596 RESOURCE26293
CLB1419 RESOURCE24858
CLB604 RESOURCE32900
CLB890 RESOURCE28972
CLB1410 RESOURCE25815
CLB1757 RESOURCE22462
CLB582 RESOURCE30505
CLB1553 RESOURCE24378
CLB17282 RESOURCE14608
CLB1551 RESOURCE23421
CLB1417 RESOURCE25337
CLB623 RESOURCE34432
CLB1476 RESOURCE23422
CLB579 RESOURCE31463
CLB17485 RESOURCE9916
CLB611 RESOURCE32901
CLB17637 RESOURCE13077
CLB17307 RESOURCE15087
CLB17458 RESOURCE9438
CLB584 RESOURCE31942
CLB988 RESOURCE27348
CLB990 RESOURCE26869
CLB17507 RESOURCE11927
CLB17460 RESOURCE9439
CLB17639 RESOURCE13078
CLB1557 RESOURCE24859
CLB1408 RESOURCE25816
CLB625 RESOURCE33954
CLB1415 RESOURCE25338
CLB1770 RESOURCE21410
CLB1548 RESOURCE23900
CLB1559 RESOURCE25817
CLB1736 RESOURCE20452
CLB1731 RESOURCE20931
CLB1769 RESOURCE21889
CLB1783 RESOURCE21890
CLB621 RESOURCE33955
CLB1737 RESOURCE22463
CLB17459 RESOURCE9437
CLB1738 RESOURCE15088
CLB955 RESOURCE29548
CLB17308 RESOURCE15567
CLB1413 RESOURCE25818
CLB853 RESOURCE30027
CLB17631 RESOURCE12598
CLB17280 RESOURCE15089
CLB1597 RESOURCE27349
CLB17514 RESOURCE10875
CLB17463 RESOURCE9918
CLB1732 RESOURCE20932
CLB17511 RESOURCE11450
CLB651 RESOURCE31944
CLB852 RESOURCE30506
CLB17630 RESOURCE12599
CLB586 RESOURCE32423
CLB17281 RESOURCE15090
CLB17638 RESOURCE13557
CLB931 RESOURCE28496
CLB932 RESOURCE28497
CLB885 RESOURCE29549
CLB1442 RESOURCE28016
CLB17598 RESOURCE14610
CLB881 RESOURCE30028
CLB618 RESOURCE33381
CLB17477 RESOURCE10876
CLB1552 RESOURCE23901
CLB17640 RESOURCE13558
CLB585 RESOURCE32424
CLB1754 RESOURCE21891
CLB1572 RESOURCE26296
CLB851 RESOURCE31465
CLB17495 RESOURCE11929
CLB17494 RESOURCE11930
CLB17311 RESOURCE16526
CLB628 RESOURCE32902
CLB17290 RESOURCE15568
CLB17461 RESOURCE9919
CLB17628 RESOURCE13079
CLB1547 RESOURCE24860
CLB627 RESOURCE33382
CLB17517 RESOURCE10877
CLB1409 RESOURCE26297
CLB878 RESOURCE29550
CLB17466 RESOURCE8961
CLB1404 RESOURCE26295
CLB884 RESOURCE30029
CLB620 RESOURCE33956
CLB1434 RESOURCE28018
CLB17513 RESOURCE11451
CLB17512 RESOURCE11452
CLB1426 RESOURCE27350
CLB17496 RESOURCE12601
CLB1735 RESOURCE21892
CLB1412 RESOURCE25819
CLB1615 RESOURCE26871
CLB1569 RESOURCE26298
CLB1416 RESOURCE25820
CLB17634 RESOURCE14611
CLB649 RESOURCE35872
CLB1756 RESOURCE22944
CLB1556 RESOURCE25339
CLB622 RESOURCE34914
CLB1542 RESOURCE25340
CLB17284 RESOURCE15570
CLB17480 RESOURCE9920
CLB639 RESOURCE32903
CLB17309 RESOURCE17006
CLB1407 RESOURCE26299
CLB652 RESOURCE31945
CLB1450 RESOURCE24381
CLB17465 RESOURCE9441
CLB17283 RESOURCE15571
CLB14979 RESOURCE10398
CLB891 RESOURCE30987
CLB877 RESOURCE30509
CLB17624 RESOURCE14038
CLB17467 RESOURCE8962
CLB994 RESOURCE27351
CLB1668 RESOURCE22466
CLB1760 RESOURCE23902
CLB1538 RESOURCE24861
CLB1759 RESOURCE24382
CLB17632 RESOURCE12600
CLB1571 RESOURCE26872
CLB642 RESOURCE36352
CLB17464 RESOURCE9442
CLB1758 RESOURCE22945
CLB1540 RESOURCE23424
CLB17629 RESOURCE13559
CLB624 RESOURCE34915
CLB1392 RESOURCE26873
CLB643 RESOURCE36353
CLB1733 RESOURCE22467
